Nordwandschacht
SURVEY NAME: Nordwandschacht
SURVEY DATE: 8 13 2023  COMMENT: Gr��te Halle Osterreich
SURVEY TEAM: 
Tanguy Racine Peter Jeutter Robin Jeutter
DECLINATION:    0.00  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

             nw.2.35              nw.2.38    21.53   122.70    40.20     4.91     9.97     1.35     7.44
             nw.2.38              nw.2.39     9.81   137.60    33.50    11.56    19.42    12.14    16.99
             nw.2.31              nw.2.40    28.30   315.10    50.70     6.49    31.44     2.83    14.16
             nw.2.40              nw.2.41    12.15   308.70    48.70    12.77     9.70     7.63     8.64
             nw.2.41              nw.2.42     5.62   261.30    53.60    10.73     3.42    15.26     0.39
             nw.2.42              nw.2.43    17.83   158.70    30.00     1.38     8.97     2.03    12.42
             nw.2.43              nw.2.44    10.20   301.20    21.40     9.07     5.36     3.14     3.09
             nw.2.45              nw.2.44     7.45   241.30   -63.70     0.00     5.97     3.68     5.79
             nw.2.44              nw.2.46    15.02   306.30    45.80     8.57    26.64     5.28    15.53
             nw.2.46              nw.2.47    15.54    11.30    26.00    12.38    15.86     3.81     8.77


